Tourist_Spot,Address,Zipcode,location,latitude,longitude
9/11 Memorial & Museum,rld Trade Center (museum: 180 Greenwich St.) Manhattan,10007,"National September 11 Memorial & Museum, 180, Greenwich Street, 10007, Greenwich Street, New York, NY, United States",40.711304049999995,-74.0132825413914
Abyssinian Baptist Church,132 Odell Clark Place New York,10030,"Abyssinian Baptist Church, 132, Odell M Clarke Place, 10030, Odell M Clarke Place, New York, New York, United States",40.8166357,-73.941477910502
Alice Austen House Museum,2 Hylan Boulevard Staten Island,10305,"Alice Austen House, 2, Hylan Boulevard, 10305, Hylan Boulevard, New York, New York, United States",40.61513305,-74.0630282760101
Alice Tully Hall,1941 Broadway Manhattan,10023,"Woolworth Building, Broadway, 10003, Broadway, New York, New York, United States",40.71245515,-74.00813517058265
Alvin Ailey American Dance Theate,405  55th Street Manhattan,10019,"Alvin Ailey American Dance Theater, 405, West 55th Street, 10019, West 55th Street, New York, New York, United States",40.7669219,-73.9869645
American Girl Place,609 Fifth Avenue Manhattan,10017,"Citigroup Center, East 54th Street, 10022, East 54th Street, New York, New York, United States",40.7583358,-73.96991526569397
American Museum of Natural History,Central Park st 79th Street Manhattan,10024,"Central Park West & West 79th Street, Central Park West, 10024, Central Park West, New York, New York, United States",40.7808732,-73.9728297
Apollo Theater,253  125th Street  Manhattan,10027,"Apollo Theater, 253, West 125th Street, 10027, West 125th Street, New York, New York, United States",40.810089500000004,-73.94999078047188
arts>Brookfield Place,230 Vesey Street Manhattan,10281,"The Rink at Brookfield Place with Gregory & Petukhov, 230, Vesey Street, 10281, Vesey Street, New York, NY, United States",40.7123174,-74.0156188
Barclays Center,620 Atlantic Avenue Brooklyn,11217,"Barclays Center, 620, Atlantic Avenue, 11217, Atlantic Avenue, Brooklyn, NY, United States",40.6826108,-73.97527899757287
Bartow-Pell Mansion Museum,895 Shore Road Bronx,10464,"895, Shore Road, 10464, Shore Road, New York, New York, United States",40.8719425,-73.8054998
Bronx Brewery,856 East 136th Street ,10454,"Bronx Brewery, 856, East 136th Street, 10454, East 136th Street, Bronx, New York, United States",40.801861,-73.91064053934592
Bronx Library Center,310 E. Kingsbridge Road Bronx,10458,"Bronx Library Center, 310, East Kingsbridge Road, 10458, East Kingsbridge Road, Bronx, New York, United States",40.863092800000004,-73.89451320075729
Bronx Zoo,2300 Southern Boulevard Bronx,10460,"New York Botanical Garden, Southern Boulevard, 10458, Southern Boulevard, New York, New York, United States",40.862243050000004,-73.87715409529777
Brooklyn Botanic Garden,1000 shington Avenue Brooklyn,11225,"1000, Manhattan Avenue, 11222, Manhattan Avenue, New York, New York, United States",40.73324595,-73.95447601633802
Brooklyn Bridge,Tillary St Brooklyn,11201,"Tillary Street, 11201-1832, New York, New York, United States",40.6961039,-73.9884908
Brooklyn Heights Promenade,Brooklyn-Queens Expressway Brooklyn ,11201,"Manhattan Bridge, Brooklyn-Queens Expressway, 11201-1832, Brooklyn-Queens Expressway, New York, New York, United States",40.7069799,-73.99046625873834
Brooklyn Historical Society,128 Pierrepont Street Brooklyn,11201,"Center for Brooklyn History, 128, Pierrepont Street, 11201, Pierrepont Street, New York, NY, United States",40.69475685,-73.99242965104258
Brooklyn Nets,"The Barclays Center, 620 Atlantic Avenue Brooklyn",11217,"Barclays Center, 620, Atlantic Avenue, 11217, Atlantic Avenue, Brooklyn, NY, United States",40.6826108,-73.97527899757287
Brooklyn Public Library,Grand Army Plaza Flatbush Ave Brooklyn,11238,"Grand Army Plaza, Flatbush Avenue, 11217, Flatbush Avenue, New York, New York, United States",40.6762012,-73.9716715
Calvary Cemetery,49-02 Laurel Hill Boulevard Queens,11377,"49-02, Laurel Hill Boulevard, 11377, Laurel Hill Boulevard, New York, New York, United States",40.7351271,-73.9174263859443
Cathedral Church of St. John the Divine,1047 Amsterdam Avenue Manhattan,10025,"Cathedral of Saint John the Divine, 1047, Amsterdam Avenue, 10025, Amsterdam Avenue, New York, NY, United States",40.80376595,-73.96178430421567
Chelsea Piers Sports & Entertainment Complex,23rd Street & Hudson River Park Manhattan,10011,"Harrison Street Basketball Court, Hudson River Park Esplanade, 10282, Hudson River Park Esplanade, New York, New York, United States",40.71878325,-74.01294605000001
Chrysler Building,405 Lexington Ave Manhattan,10174,"405, Lexington Avenue, 10017, Lexington Avenue, New York, New York, United States",40.7519148,-73.97553
Circle Line Downtown,Pier 16 S. Street Seaport Manhattan,10038,"South Street Seaport, Pier 16, 10038, Pier 16, New York, New York, United States",40.7057505,-74.0029056
City Hall Park,Broadway and Chambers St Manhattan,10007,"Chambers Street, West Broadway, 10012, West Broadway, New York, New York, United States",40.7155081,-74.0092451
Clove Lakes Park,1150 Clove Road Staten Island,10301,"Clove Road, 10305, New York, New York, United States",40.635252,-74.12632
Coney Island Brewing Company,1904 Surf Avenue Brooklyn,11224,"New York Aquarium, Surf Avenue, 11224, Surf Avenue, Brooklyn, NY, United States",40.57433585,-73.97523718007122
Coney Island Circus Sideshow,Surf Avenue Brooklyn,11224,"New York Aquarium, Surf Avenue, 11224, Surf Avenue, Brooklyn, NY, United States",40.57433585,-73.97523718007122
Delacorte Theate,Mid-park 80th St Manhattan,10024,"Park Avenue, 10037, New York, New York, United States",40.7464432,-73.9817192
Ellis Island,New York Harbor Manhattan,10004,"New York Harbor School, Short Avenue, 10004, Short Avenue, New York, New York, United States",40.69075805,-74.02038028437758
Ellis Island National Museum of Immigration,"Ellis Island, New York Harbor Manhattan",10004,"Statue of Liberty & Ellis Island Tickets, FDR Drive, 10004, FDR Drive, New York, New York, United States",40.7035128,-74.016917
Ellis Island/American Family Immigration History Center,"Ellis Island, New York Harbor Manhattan",10004,"Statue of Liberty & Ellis Island Tickets, FDR Drive, 10004, FDR Drive, New York, New York, United States",40.7035128,-74.016917
Empire State Building Experience,350 Fifth Avenue Manhattan,10118,"Empire State Building, 350, 5th Avenue, 10018, 5th Avenue, New York City, NY, United States",40.748428399999995,-73.98565461987332
FDNY Fire Zone,34  51st Street Manhattan,10020,"34, East 51st Street, 10022, East 51st Street, New York, New York, United States",40.75794465,-73.97443079808477
Flatiron Building,175 5th Ave Manhattan,10010,"Flatiron Building, 175, 5th Avenue, 10010, 5th Avenue, New York, New York, United States",40.741059199999995,-73.98964162240998
Governors Island,Governors Island New York,10004,"Governors Island Ferry, Brooklyn Bridge Park Greenway, 11201, Brooklyn Bridge Park Greenway, New York, New York, United States",40.69231605,-74.0020373562073
Green-Wood Cemetery,500 25th Street Brooklyn,11232,"500, 25th Street, 11232, 25th Street, New York, New York, United States",40.65808965,-73.99484113044554
Greenbelt Nature Center,700 Rockland Ave Staten Island,10314,"700, Rockland Avenue, 10314, Rockland Avenue, New York, New York, United States",40.588379149999994,-74.13912763726577
Gulliver's Gate,216  44th Street Manhattan,10036,"Gulliver’s Gate, 216, West 44th Street, 10036, West 44th Street, New York, New York, United States",40.7576182,-73.9871405
