,number_of_places_2500m,number_of_places_1000m,number_of_places_500m
0,8,0,0
1,75,29,4
2,9,2,0
3,9,1,0
4,10,3,1
5,70,11,1
6,5,0,0
7,71,20,3
8,19,2,0
9,58,8,1
10,16,2,1
11,72,15,7
12,16,4,1
13,22,2,0
14,55,12,1
15,3,0,0
16,14,3,0
17,64,15,2
18,4,0,0
19,17,3,2
20,5,2,2
21,21,4,3
22,21,4,3
23,21,4,3
24,1,0,0
25,16,1,0
26,4,1,0
27,70,14,2
28,3,0,0
29,50,6,1
30,9,1,0
31,11,3,0
32,5,0,0
33,10,1,0
34,7,0,0
35,16,4,1
36,1,0,0
37,0,0,0
38,2,0,0
39,56,8,1
40,35,2,0
41,18,3,0
42,18,2,2
43,27,7,4
44,10,2,0
45,9,3,1
46,13,3,0
47,7,0,0
48,1,0,0
49,16,5,0
50,1,0,0
51,39,7,0
52,0,0,0
53,12,4,1
54,65,10,3
55,5,0,0
56,60,12,4
57,74,15,2
58,5,0,0
59,78,12,3
60,7,0,0
61,70,13,2
62,26,3,1
63,13,2,0
64,10,1,1
65,74,12,3
66,19,2,1
67,33,0,0
68,8,1,0
69,42,6,0
70,8,1,1
71,32,2,0
72,68,13,2
73,12,2,1
74,12,1,0
75,52,7,4
76,24,2,1
77,1,0,0
78,15,3,0
79,54,9,5
80,5,0,0
81,10,1,1
82,53,9,3
83,8,2,1
84,53,9,0
85,45,9,3
86,5,2,2
87,41,5,0
88,40,1,0
89,6,0,0
90,0,0,0
91,18,4,2
92,12,1,1
93,16,5,3
94,4,0,0
95,0,0,0
96,24,1,0
97,13,1,0
98,48,11,5
99,1,0,0
100,9,1,0
101,18,0,0
102,10,4,1
103,72,8,2
104,2,0,0
105,18,4,0
106,1,0,0
107,4,0,0
108,10,2,0
109,24,1,0
110,74,15,2
111,11,1,1
112,40,2,0
113,16,4,1
114,38,3,0
115,67,12,5
116,6,2,2
117,53,9,4
118,34,0,0
119,16,4,1
120,10,1,0
121,18,3,0
122,53,7,4
123,42,7,1
124,8,2,0
125,7,1,0
126,18,4,0
127,7,1,1
128,7,0,0
129,12,2,0
130,12,1,0
131,62,12,4
132,11,3,0
133,54,8,0
134,71,15,3
135,64,11,4
136,1,0,0
137,9,1,1
138,1,0,0
139,13,3,1
140,11,4,1
141,4,1,0
142,24,2,0
143,8,0,0
144,1,0,0
145,2,0,0
146,6,2,0
147,39,4,0
148,6,0,0
149,15,4,0
150,57,10,5
151,13,3,1
152,6,2,0
153,13,3,1
154,8,1,0
155,65,9,2
156,8,1,0
157,24,4,1
158,21,3,1
159,27,3,1
160,3,0,0
161,4,1,0
162,1,0,0
163,31,7,1
164,60,4,1
165,16,5,3
166,10,1,0
167,8,1,1
168,18,0,0
169,9,7,3
170,0,0,0
171,12,4,0
172,8,1,0
173,35,0,0
174,55,24,8
175,14,1,0
176,46,10,4
177,12,2,0
178,60,12,3
179,9,1,0
180,19,4,0
181,0,0,0
182,12,3,1
183,5,2,0
184,21,4,3
185,1,0,0
186,17,5,1
187,29,3,1
188,1,0,0
189,55,11,5
190,50,3,0
191,53,9,2
192,16,4,1
193,23,3,0
194,62,12,4
195,67,10,1
196,0,0,0
197,66,9,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,6,2,1
203,71,20,3
204,16,3,0
205,17,5,1
206,10,2,1
207,12,4,3
208,9,2,1
209,2,0,0
210,1,0,0
211,60,9,4
212,70,7,2
213,3,0,0
214,18,3,2
215,43,6,0
216,11,4,0
217,10,2,0
218,1,0,0
219,24,6,1
220,51,5,2
221,70,14,2
222,56,12,4
223,70,14,7
224,10,2,0
225,11,1,0
226,16,0,0
227,21,1,0
228,46,5,2
229,0,0,0
230,12,3,1
231,73,12,3
232,71,15,1
233,75,18,3
234,66,16,3
235,14,4,0
236,10,2,0
237,11,2,0
238,39,1,0
239,19,2,1
240,6,2,0
241,73,12,4
242,57,10,3
243,16,2,1
244,58,8,2
245,70,12,2
246,2,0,0
247,58,12,4
248,1,0,0
249,11,2,0
250,10,2,0
251,11,2,0
252,38,3,0
253,64,15,2
254,9,4,1
255,3,0,0
256,11,2,0
257,2,0,0
258,4,0,0
259,18,2,0
260,0,0,0
261,0,0,0
262,1,0,0
263,35,4,0
264,5,0,0
265,4,1,0
266,5,0,0
267,50,5,1
268,1,0,0
269,1,0,0
270,5,0,0
271,5,0,0
272,71,18,2
273,33,2,0
274,46,13,0
275,5,0,0
276,7,0,0
277,40,2,0
278,3,0,0
279,2,0,0
280,13,1,0
281,16,4,2
282,19,0,0
283,3,0,0
284,43,6,0
285,68,11,4
286,4,0,0
287,11,1,1
288,20,4,0
289,23,0,0
290,17,3,2
291,7,1,0
292,16,2,1
293,19,2,0
294,13,1,0
295,1,0,0
296,34,7,0
297,19,0,0
298,9,2,2
299,72,12,4
300,44,11,0
301,0,0,0
302,4,1,0
303,53,9,3
304,34,0,0
305,12,2,1
306,56,7,4
307,72,7,1
308,9,4,1
309,4,0,0
310,54,12,2
311,8,3,0
312,7,0,0
313,5,2,1
314,6,2,0
315,16,2,0
316,7,1,0
317,7,2,0
318,5,2,0
319,34,4,1
320,13,5,2
321,14,4,0
