,number_of_places_2.5km
0,8
1,75
2,9
3,9
4,10
5,70
6,5
7,71
8,19
9,58
10,16
11,72
12,16
13,22
14,55
15,3
16,14
17,64
18,4
19,17
20,5
21,21
22,21
23,21
24,1
25,16
26,4
27,70
28,3
29,50
30,9
31,11
32,5
33,10
34,7
35,16
36,1
37,0
38,2
39,56
40,35
41,18
42,18
43,27
44,10
45,9
46,13
47,7
48,1
49,16
50,1
51,39
52,0
53,12
54,65
55,5
56,60
57,74
58,5
59,78
60,7
61,70
62,26
63,13
64,10
65,74
66,19
67,33
68,8
69,42
70,8
71,32
72,68
73,12
74,12
75,52
76,24
77,1
78,15
79,54
80,5
81,10
82,53
83,8
84,53
85,45
86,5
87,41
88,40
89,6
90,0
91,18
92,12
93,16
94,4
95,0
96,24
97,13
98,48
99,1
100,9
101,18
102,10
103,72
104,2
105,18
106,1
107,4
108,10
109,24
110,74
111,11
112,40
113,16
114,38
115,67
116,6
117,53
118,34
119,16
120,10
121,18
122,53
123,42
124,8
125,7
126,18
127,7
128,7
129,12
130,12
131,62
132,11
133,54
134,71
135,64
136,1
137,9
138,1
139,13
140,11
141,4
142,24
143,8
144,1
145,2
146,6
147,39
148,6
149,15
150,57
151,13
152,6
153,13
154,8
155,65
156,8
157,24
158,21
159,27
160,3
161,4
162,1
163,31
164,60
165,16
166,10
167,8
168,18
169,9
170,0
171,12
172,8
173,35
174,55
175,14
176,46
177,12
178,60
179,9
180,19
181,0
182,12
183,5
184,21
185,1
186,17
187,29
188,1
189,55
190,50
191,53
192,16
193,23
194,62
195,67
196,0
197,66
198,0
199,0
200,0
201,0
202,6
203,71
204,16
205,17
206,10
207,12
208,9
209,2
210,1
211,60
212,70
213,3
214,18
215,43
216,11
217,10
218,1
219,24
220,51
221,70
222,56
223,70
224,10
225,11
226,16
227,21
228,46
229,0
230,12
231,73
232,71
233,75
234,66
235,14
236,10
237,11
238,39
239,19
240,6
241,73
242,57
243,16
244,58
245,70
246,2
247,58
248,1
249,11
250,10
251,11
252,38
253,64
254,9
255,3
256,11
257,2
258,4
259,18
260,0
261,0
262,1
263,35
264,5
265,4
266,5
267,50
268,1
269,1
270,5
271,5
272,71
273,33
274,46
275,5
276,7
277,40
278,3
279,2
280,13
281,16
282,19
283,3
284,43
285,68
286,4
287,11
288,20
289,23
290,17
291,7
292,16
293,19
294,13
295,1
296,34
297,19
298,9
299,72
300,44
301,0
302,4
303,53
304,34
305,12
306,56
307,72
308,9
309,4
310,54
311,8
312,7
313,5
314,6
315,16
316,7
317,7
318,5
319,34
320,13
321,14
322,68
323,23
324,12
325,5
326,42
327,14
328,14
329,22
330,14
331,43
332,47
333,39
334,2
335,1
336,15
337,6
338,34
339,15
340,4
341,54
342,75
343,3
344,54
345,12
346,4
347,1
348,0
349,3
350,1
351,12
352,3
353,2
354,13
355,61
356,69
357,9
358,16
359,8
360,0
361,16
362,5
363,40
364,6
365,17
366,48
367,0
368,4
369,8
370,7
371,9
372,45
373,77
374,12
375,13
376,20
377,15
378,5
379,75
380,15
381,70
382,61
383,9
384,12
385,3
386,5
387,26
388,1
389,55
390,49
391,2
392,6
393,21
394,12
395,58
396,1
397,4
398,55
399,22
400,14
401,11
402,7
403,0
404,63
405,2
406,67
407,5
408,4
409,18
410,59
411,19
412,5
413,6
414,6
415,12
416,27
417,23
418,19
419,65
420,78
421,33
422,14
423,41
424,6
425,51
426,27
427,16
428,12
429,72
430,3
431,24
432,20
433,1
434,36
435,0
436,2
437,20
438,33
439,10
440,12
441,3
442,10
443,40
444,11
445,7
446,1
447,1
448,6
449,10
450,8
451,2
452,1
453,1
454,60
455,55
456,40
457,3
458,2
459,13
460,6
461,6
462,7
463,13
464,55
465,4
466,80
467,20
468,14
469,3
470,19
471,0
472,12
473,20
474,68
475,21
476,20
477,50
478,35
479,17
480,11
481,37
482,8
483,7
484,4
485,7
486,0
487,9
488,18
489,11
490,54
491,14
492,11
493,11
494,57
495,1
496,55
497,12
498,43
499,3
500,7
501,60
502,60
503,32
504,78
505,4
506,5
507,12
508,14
509,55
510,3
511,7
512,2
513,52
514,1
515,61
516,5
517,18
518,54
519,61
520,45
521,1
522,5
523,48
524,4
525,14
526,18
527,30
528,55
529,6
530,4
531,56
532,24
533,12
534,8
535,8
536,2
537,1
538,21
539,21
540,65
541,12
542,7
543,13
544,2
545,39
546,45
547,19
548,1
549,38
550,10
551,2
552,75
553,75
554,1
555,2
556,4
557,6
558,14
559,9
560,0
561,6
562,1
563,4
564,12
565,39
566,36
567,75
568,22
569,0
570,52
571,1
572,6
573,5
574,21
575,1
576,11
577,0
578,11
579,40
580,35
581,11
582,8
583,1
584,30
585,62
586,8
587,69
588,21
589,57
590,13
591,13
592,14
593,25
594,72
595,5
596,18
597,9
598,1
599,2
600,5
601,43
602,1
603,57
604,76
605,1
606,69
607,38
608,9
609,1
610,8
611,14
612,39
613,78
614,1
615,8
616,55
617,0
618,69
619,9
620,16
621,18
622,46
623,69
624,44
625,5
626,30
627,39
628,67
629,58
630,71
631,2
632,54
633,62
634,16
635,9
636,13
637,9
638,7
639,69
640,8
641,2
642,4
643,4
644,6
645,5
646,4
647,66
648,1
649,67
650,0
651,53
652,15
653,73
654,66
655,11
656,1
657,5
658,11
659,74
660,10
661,10
662,67
663,5
664,37
665,61
666,12
667,12
668,14
669,13
670,14
671,10
672,23
673,11
674,14
675,14
676,13
677,13
678,14
679,14
680,14
681,14
682,14
683,0
684,14
685,14
686,0
687,4
688,1
689,68
690,4
691,53
692,24
693,7
694,1
695,4
696,10
697,19
698,0
699,43
700,51
701,15
702,0
703,0
704,0
705,15
706,23
707,7
708,69
709,55
710,50
711,61
712,58
713,2
714,55
715,64
716,18
717,44
718,11
719,7
720,4
721,24
722,11
723,10
724,1
725,76
726,62
727,69
728,5
729,36
730,38
731,15
732,55
733,54
734,71
735,70
736,5
737,0
738,4
739,14
740,16
741,3
742,53
743,1
744,14
745,0
746,3
747,1
748,62
749,7
750,7
751,9
752,1
753,5
754,74
755,69
756,57
757,7
758,42
759,9
760,16
761,5
762,64
763,9
764,14
765,0
766,14
767,22
768,1
769,12
770,16
771,11
772,11
773,49
774,5
775,8
776,2
777,41
778,7
779,13
780,7
781,1
782,3
783,44
784,12
785,13
786,4
787,57
788,1
789,23
790,20
791,0
792,31
793,3
794,4
795,73
796,18
797,60
798,51
799,59
800,0
801,10
802,10
803,1
804,69
805,1
806,22
807,2
808,23
809,18
810,52
811,21
812,56
813,71
814,80
815,6
816,6
817,75
818,58
819,2
820,2
821,46
822,72
823,0
824,12
825,13
826,2
827,14
828,3
829,16
830,57
831,14
832,14
833,15
834,6
835,4
836,14
837,4
838,2
839,8
840,29
841,2
842,0
843,9
844,5
845,5
846,14
847,7
848,5
849,1
850,4
851,29
852,75
853,1
854,9
855,14
856,6
857,9
858,12
859,44
860,61
861,6
862,16
863,0
864,28
865,9
866,9
867,11
868,11
869,6
870,37
871,11
872,11
873,0
874,13
875,63
876,50
877,1
878,68
879,5
880,14
881,0
882,7
883,3
884,11
885,9
886,18
887,6
888,54
889,11
890,7
891,5
892,46
893,49
894,7
895,34
896,3
897,24
898,28
899,12
900,56
901,60
902,75
903,35
904,9
905,2
906,63
907,4
908,6
909,69
910,6
911,13
912,1
913,1
914,1
915,14
916,26
917,68
918,59
919,25
920,65
921,10
922,72
923,8
924,65
925,68
926,3
927,68
928,55
929,33
930,7
931,21
932,9
933,16
934,73
935,5
936,17
937,55
938,41
939,9
940,10
941,66
942,2
943,75
944,17
945,16
946,19
947,0
948,21
949,5
950,14
951,4
952,13
953,36
954,7
955,7
956,1
957,0
958,42
959,78
960,20
961,0
962,12
963,12
964,4
965,0
966,2
967,10
968,47
969,73
970,66
971,14
972,12
973,63
974,0
975,1
976,24
977,7
978,71
979,53
980,79
981,7
982,0
983,72
984,13
985,38
986,39
987,12
988,21
989,17
990,58
991,0
992,9
993,19
994,46
995,16
996,13
997,76
998,39
999,7
1000,12
1001,7
1002,76
1003,67
1004,2
1005,1
1006,58
1007,9
1008,24
1009,16
1010,4
1011,80
1012,7
1013,3
1014,9
1015,1
1016,3
1017,53
1018,60
1019,9
1020,49
1021,5
1022,18
1023,41
1024,1
1025,45
1026,1
1027,44
1028,69
1029,66
1030,70
1031,68
1032,12
1033,30
1034,11
1035,12
1036,28
1037,12
1038,15
1039,17
1040,13
1041,1
1042,18
1043,61
1044,22
1045,47
1046,54
1047,7
1048,56
1049,12
1050,11
1051,17
1052,35
1053,9
1054,3
1055,18
1056,0
1057,58
1058,33
1059,1
1060,7
1061,58
1062,64
1063,6
1064,0
1065,0
1066,5
1067,14
1068,8
1069,1
1070,0
1071,58
1072,3
1073,19
1074,4
1075,17
1076,9
1077,6
1078,53
1079,5
1080,13
1081,3
1082,45
1083,2
1084,13
1085,68
1086,59
1087,64
1088,14
1089,55
1090,2
1091,0
1092,30
1093,65
1094,11
1095,5
1096,51
1097,1
1098,4
1099,11
1100,2
1101,1
1102,37
1103,0
1104,69
1105,67
1106,61
1107,6
1108,53
1109,5
1110,11
1111,69
1112,1
1113,9
1114,58
1115,13
1116,0
1117,12
1118,2
1119,72
1120,12
1121,41
1122,45
1123,45
1124,42
1125,11
1126,72
1127,67
1128,15
1129,50
1130,15
1131,5
1132,4
1133,5
1134,56
1135,27
1136,71
1137,21
1138,1
1139,69
1140,7
1141,12
1142,16
1143,1
1144,22
1145,3
1146,12
1147,41
1148,5
1149,10
1150,7
