,number_of_trees_1km
0,1037
1,296
2,1121
3,731
4,815
5,532
6,723
7,543
8,1200
9,676
10,1193
11,479
12,954
13,910
14,1107
15,851
16,771
17,936
18,1002
19,697
20,951
21,1007
22,1022
23,1014
24,889
25,786
26,452
27,606
28,512
29,1103
30,1028
31,1021
32,445
33,834
34,814
35,932
36,759
37,636
38,1233
39,728
40,1117
41,1072
42,509
43,1154
44,1226
45,613
46,510
47,832
48,865
49,771
50,904
51,1133
52,485
53,603
54,787
55,983
56,927
57,444
58,404
59,722
60,895
61,767
62,565
63,921
64,889
65,566
66,1029
67,910
68,488
69,1227
70,886
71,960
72,561
73,1081
74,858
75,1066
76,354
77,581
78,694
79,1261
80,975
81,810
82,980
83,669
84,546
85,655
86,940
87,1230
88,1062
89,900
90,574
91,1001
92,920
93,1025
94,998
95,682
96,917
97,1160
98,1331
99,860
100,999
101,721
102,823
103,1123
104,682
105,1252
106,864
107,977
108,1235
109,767
110,444
111,910
112,1135
113,855
114,1073
115,787
116,921
117,986
118,960
119,1044
120,1081
121,1156
122,937
123,1218
124,747
125,517
126,778
127,596
128,811
129,1121
130,815
131,917
132,535
133,708
134,578
135,1201
136,437
137,789
138,923
139,978
140,598
141,970
142,884
143,300
144,945
145,563
146,966
147,1186
148,977
149,785
150,1205
151,808
152,885
153,823
154,539
155,1141
156,751
157,1157
158,827
159,977
160,886
161,707
162,884
163,379
164,828
165,734
166,1115
167,811
168,697
169,639
170,681
171,543
172,520
173,986
174,442
175,818
176,1238
177,1129
178,1129
179,793
180,877
181,673
182,1295
183,932
184,1012
185,876
186,1075
187,451
188,887
189,1219
190,522
191,1020
192,902
193,807
194,866
195,841
196,1102
197,583
198,598
199,726
200,718
201,672
202,826
203,571
204,1066
205,1077
206,1272
207,527
208,890
209,503
210,934
211,929
212,955
213,865
214,914
215,1171
216,607
217,1227
218,489
219,921
220,1095
221,605
222,969
223,803
224,1192
225,1287
226,846
227,150
228,1119
229,655
230,422
231,716
232,691
233,585
234,877
235,570
236,1218
237,1115
238,1018
239,1018
240,943
241,721
242,1104
243,1168
244,735
245,656
246,795
247,940
248,757
249,771
250,791
251,760
252,1076
253,948
254,720
255,778
256,775
257,733
258,1222
259,1194
260,627
261,588
262,896
263,1129
264,760
265,474
266,794
267,1124
268,943
269,878
270,924
271,938
272,618
273,1087
274,1140
275,793
276,832
277,1117
278,924
279,735
280,1180
281,1059
282,668
283,985
284,1162
285,769
286,1015
287,1109
288,987
289,746
290,657
291,800
292,1230
293,1256
294,1004
295,873
296,1515
297,658
298,628
299,689
300,1078
301,699
302,409
303,976
304,973
305,862
306,873
307,1038
308,715
309,616
310,974
311,894
312,977
313,819
314,988
315,1094
316,223
317,944
318,1050
319,1016
320,824
321,565
322,565
323,915
324,755
325,714
326,1230
327,577
328,583
329,1057
330,571
331,641
332,649
333,1203
334,893
335,727
336,865
337,791
338,1026
339,575
340,1003
341,1026
342,467
343,1015
344,1058
345,885
346,863
347,905
348,651
349,943
350,673
351,863
352,887
353,430
354,889
355,581
356,729
357,614
358,884
359,758
360,450
361,641
362,1028
363,1028
364,865
365,563
366,1147
367,222
368,1004
369,789
370,766
371,748
372,800
373,611
374,872
375,1231
376,1027
377,790
378,945
379,516
380,912
381,747
382,595
383,786
384,1017
385,799
386,980
387,840
388,842
389,1109
390,1031
391,511
392,820
393,1039
394,1274
395,926
396,858
397,1177
398,1007
399,1301
400,601
401,1204
402,932
403,654
404,896
405,741
406,609
407,895
408,677
409,902
410,1036
411,1135
412,734
413,955
414,1008
415,887
416,645
417,850
418,1174
419,788
420,722
421,824
422,1195
423,1220
424,947
425,1202
426,1461
427,840
428,1269
429,917
430,692
431,992
432,960
433,324
434,1095
435,598
436,768
437,1249
438,866
439,1255
440,1249
441,516
442,659
443,1178
444,1354
445,758
446,873
447,805
448,962
449,805
450,899
451,625
452,894
453,896
454,1010
455,1048
456,1015
457,691
458,649
459,1058
460,1077
461,945
462,602
463,1236
464,1018
465,577
466,763
467,755
468,1286
469,620
470,997
471,742
472,719
473,796
474,853
475,981
476,1054
477,1116
478,896
479,888
480,1030
481,1538
482,1129
483,807
484,998
485,570
486,1290
487,552
488,905
489,1108
490,780
491,1203
492,1241
493,614
494,969
495,667
496,722
497,852
498,1134
499,901
500,966
501,1050
502,622
503,1008
504,735
505,700
506,693
507,1121
508,613
509,1189
510,702
511,882
512,746
513,1312
514,510
515,1096
516,978
517,995
518,984
519,562
520,839
521,1128
522,1024
523,851
524,603
525,970
526,1248
527,799
528,492
529,837
530,623
531,1238
532,821
533,977
534,869
535,874
536,498
537,788
538,1024
539,1048
540,583
541,1010
542,766
543,1128
544,753
545,556
546,1088
547,1187
548,759
549,821
550,735
551,803
552,490
553,467
554,869
555,757
556,785
557,895
558,915
559,604
560,704
561,977
562,770
563,492
564,386
565,930
566,909
567,479
568,920
569,788
570,916
571,946
572,689
573,675
574,976
575,677
576,1261
577,607
578,833
579,961
580,1029
581,852
582,852
583,783
584,878
585,908
586,906
587,570
588,1008
589,1073
590,826
591,1198
592,1132
593,842
594,763
595,702
596,915
597,908
598,706
599,814
600,879
601,1210
602,838
603,1196
604,607
605,888
606,533
607,1011
608,371
609,559
610,903
611,570
612,1157
613,732
614,872
615,415
616,527
617,733
618,574
619,1124
620,482
621,1076
622,1308
623,505
624,1142
625,1027
626,289
627,1224
628,817
629,884
630,700
631,693
632,898
633,905
634,1003
635,742
636,913
637,919
638,514
639,1023
640,916
641,593
642,864
643,913
644,605
645,817
646,635
647,693
648,993
649,828
650,652
651,1014
652,581
653,1098
654,1116
655,576
656,773
657,789
658,909
659,554
660,1152
661,1153
662,1010
663,996
664,1421
665,735
666,663
667,682
668,561
669,574
670,568
671,718
672,1115
673,1116
674,581
675,563
676,560
677,567
678,574
679,554
680,564
681,571
682,586
683,759
684,575
685,940
686,798
687,964
688,536
689,772
690,675
691,979
692,916
693,825
694,850
695,967
696,738
697,993
698,1026
699,1213
700,945
701,1227
702,421
703,477
704,507
705,774
706,371
707,795
708,1036
709,362
710,1303
711,1136
712,966
713,586
714,991
715,1141
716,437
717,1180
